                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.774,                 3.7529,                  1.059,                      0,                      0,                      0,                      0,                      0,                 74.031,                      0,                0.00044,                0.00044,                0.00044
                      2,                 1.3054,                0.79206,                0.96622,                      0,                      0,                      0,                      0,                      0,                 126.81,                      0,             0.00085545,             0.00085545,             0.00085545
                      3,                 1.2966,                0.73626,                0.94348,                      0,                      0,                      0,                      0,                      0,                 49.891,                      0,              0.0012254,              0.0012254,              0.0012254
                      4,                 1.4054,                0.84231,                0.96848,                      0,                      0,                      0,                      0,                      0,                 64.911,                      0,              0.0015497,              0.0015497,              0.0015497
                      5,                 1.3333,                0.76719,                0.96103,                      0,                      0,                      0,                      0,                      0,                 115.42,                      0,               0.001604,               0.001604,               0.001604
                      6,                 1.2404,                0.72479,                0.91591,                      0,                      0,                      0,                      0,                      0,                 158.88,                      0,               0.001505,               0.001505,               0.001505
                      7,                 1.2181,                0.67277,                0.89411,                      0,                      0,                      0,                      0,                      0,                 71.667,                      0,               0.001406,               0.001406,               0.001406
                      8,                 1.2012,                0.68469,                0.92834,                      0,                      0,                      0,                      0,                      0,                 79.979,                      0,               0.001307,               0.001307,               0.001307
                      9,                 1.2004,                0.66702,                0.94082,                      0,                      0,                      0,                      0,                      0,                 90.521,                      0,               0.001208,               0.001208,               0.001208
                     10,                 1.0712,                 0.6064,                0.90776,                      0,                      0,                      0,                      0,                      0,                 84.333,                      0,               0.001109,               0.001109,               0.001109
                     11,                 1.0995,                0.63105,                0.91931,                      0,                      0,                      0,                      0,                      0,                 85.844,                      0,                0.00101,                0.00101,                0.00101
                     12,                 1.0253,                0.55186,                0.89525,                      0,                      0,                      0,                      0,                      0,                 93.938,                      0,               0.000911,               0.000911,               0.000911
                     13,                 1.0136,                0.55706,                0.88202,                      0,                      0,                      0,                      0,                      0,                 100.58,                      0,               0.000812,               0.000812,               0.000812
                     14,                0.99476,                0.55431,                0.90395,                      0,                      0,                      0,                      0,                      0,                 97.208,                      0,               0.000713,               0.000713,               0.000713
                     15,                 1.0439,                0.57091,                0.88561,                      0,                      0,                      0,                      0,                      0,                 101.94,                      0,               0.000614,               0.000614,               0.000614
                     16,                0.89407,                0.53435,                0.86187,                      0,                      0,                      0,                      0,                      0,                 97.146,                      0,               0.000515,               0.000515,               0.000515
                     17,                 0.9167,                0.50319,                0.84124,                      0,                      0,                      0,                      0,                      0,                 101.06,                      0,               0.000416,               0.000416,               0.000416
                     18,                0.89976,                0.48952,                0.86075,                      0,                      0,                      0,                      0,                      0,                 96.812,                      0,               0.000317,               0.000317,               0.000317
                     19,                0.91365,                0.47504,                0.88985,                      0,                      0,                      0,                      0,                      0,                 100.92,                      0,               0.000218,               0.000218,               0.000218
                     20,                0.90281,                 0.4838,                0.84202,                      0,                      0,                      0,                      0,                      0,                 98.104,                      0,               0.000119,               0.000119,               0.000119
