                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68468,                 2.1254,                 1.1008,                0.75012,                0.77027,                0.76016,                0.73539,                0.28171,                 1.2452,                0.79767,                  6e-05,                  6e-05,                  6e-05
                      2,                0.62868,                 1.8429,                 1.1242,                0.77751,                0.81081,                0.80051,                 0.7767,                0.25729,                 1.8868,                 0.8042,             0.00013307,             0.00013307,             0.00013307
                      3,                 0.5395,                0.84564,                 1.0505,                0.80818,                      1,                 0.9868,                0.89674,                0.44132,                 1.4289,                0.81032,             0.00019822,             0.00019822,             0.00019822
                      4,                0.44248,                0.63473,                0.95335,                0.81311,                0.95946,                 0.9438,                0.87233,                 0.3697,                  1.955,                0.79642,             0.00025545,             0.00025545,             0.00025545
                      5,                0.48077,                0.51529,                0.98608,                0.83795,                0.98649,                0.96937,                0.90541,                0.32624,                 2.4722,                0.79488,             0.00030476,             0.00030476,             0.00030476
                      6,                0.46181,                0.50645,                0.99565,                0.74245,                0.97297,                0.90365,                 0.8355,                0.32571,                 4.1508,                0.79578,             0.00034615,             0.00034615,             0.00034615
                      7,                0.42613,                0.46512,                0.93381,                0.81499,                0.98649,                0.95284,                0.88939,                0.36768,                 2.4337,                0.79866,             0.00037962,             0.00037962,             0.00037962
                      8,                0.44678,                0.55893,                  0.995,                0.96898,                0.98649,                0.99461,                0.90275,                0.41698,                  1.058,                0.81476,             0.00040517,             0.00040517,             0.00040517
                      9,                 0.4709,                0.41315,                0.99379,                0.97541,                0.98649,                0.99331,                0.90506,                0.41907,                 1.8157,                 0.8517,              0.0004228,              0.0004228,              0.0004228
                     10,                 0.4225,                0.42667,                0.97795,                0.88746,                0.98649,                0.97008,                0.87091,                0.41113,                 2.0756,                0.86256,             0.00043251,             0.00043251,             0.00043251
                     11,                0.37861,                0.57776,                 0.8989,                0.94717,                0.89189,                0.96935,                0.91335,                0.37988,                0.63298,                0.86332,              0.0004343,              0.0004343,              0.0004343
                     12,                0.32457,                0.54174,                0.86138,                0.97189,                0.93451,                 0.9822,                0.90572,                0.40921,                0.64726,                0.88624,             0.00042817,             0.00042817,             0.00042817
                     13,                0.40802,                0.44463,                0.87319,                0.94803,                0.98609,                0.99199,                0.93944,                0.34431,                0.72253,                0.84525,             0.00041412,             0.00041412,             0.00041412
                     14,                0.31089,                0.38879,                0.86132,                0.99833,                0.98649,                0.99487,                0.94712,                0.34138,                0.82044,                0.84089,             0.00039215,             0.00039215,             0.00039215
                     15,                0.26998,                0.36565,                0.87319,                0.88964,                0.98044,                0.99089,                0.93772,                0.34343,                 0.8727,                0.84225,             0.00036226,             0.00036226,             0.00036226
                     16,                0.31542,                0.42836,                0.86307,                0.93075,                0.97297,                0.99285,                0.93146,                0.33862,                0.81733,                0.84234,             0.00032445,             0.00032445,             0.00032445
                     17,                0.31696,                0.41328,                0.85229,                0.91187,                0.98649,                0.98968,                0.93095,                0.34239,                0.76474,                0.84741,             0.00027872,             0.00027872,             0.00027872
                     18,                0.30409,                0.38391,                 0.8685,                0.95642,                0.97297,                0.99063,                0.95181,                0.33414,                0.50378,                0.84071,             0.00022507,             0.00022507,             0.00022507
                     19,                0.25661,                0.33928,                0.87597,                0.96853,                0.97297,                 0.9921,                0.95102,                0.32392,                 0.4513,                0.83454,              0.0001635,              0.0001635,              0.0001635
                     20,                0.31308,                0.34984,                0.89743,                0.99459,                0.97297,                 0.9918,                0.95062,                0.31381,                0.42917,                0.82473,              9.401e-05,              9.401e-05,              9.401e-05
